ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
149955,Lower Terrace,3000000.0,"Hampstead Village, NW3",3,2,1,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-lower-terrace-london-nw3/149955,Hampstead,0.26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
151751,Highgate Avenue,3000000.0,"Highgate, N6",5,3,3,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-highgate-avenue-london-n6/151751,Highgate,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
152689,Britton Street,3000000.0,"Clerkenwell, EC1M",4,3,3,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-britton-street-london-ec1m/152689,First Capital Connect Farringdon,0.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158433,Marshall Street,3000000.0,"Marylebone, W1F",3,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-marshall-street-london-w1f/158433,Oxford Circus,0.2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159110,Porter Street,3000000.0,"Marylebone, W1U",4,3,2,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-porter-street-london-w1u/159110,Baker Street,0.08,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154425,Harley Road,2950000.0,"Primrose Hill, NW3",5,3,4,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-harley-road-london-nw3/154425,Swiss Cottage,0.22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158056,Christchurch Terrace,2950000.0,"Chelsea, SW3",2,3,1,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-christchurch-terrace-london-sw3/158056,Sloane Square,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130728,Warwick Place,2900000.0,"Little Venice, W9",3,4,2,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-warwick-place-maida-vale-w9/130728,Warwick Avenue,0.08,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156902,Chatsworth Road,2875000.0,"Mapesbury, NW2",7,3,2,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-chatsworth-road-london-nw2/156902,Kilburn,0.32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139723,The Belvedere,2850000.0,"Chelsea, SW10",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-the-belvedere-london-sw10/139723,Fulham Broadway,0.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139723,The Belvedere,2850000.0,"Chelsea, SW10",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-the-belvedere-london-sw10/139723,Fulham Broadway,0.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132502,The Belvedere,2650000.0,"Chelsea, SW10",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-the-belvedere-london-sw10/132502,Fulham Broadway,0.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132502,The Belvedere,2650000.0,"Chelsea, SW10",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-the-belvedere-london-sw10/132502,Fulham Broadway,0.73,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159925,Walton Street,2850000.0,"Chelsea, SW3",3,2,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-walton-street-london-sw3/159925,Knightsbridge,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
